Nuclide,T12
66Ge,8136
67Ge,1134
68Ge,23408352
69Ge,140580
70Ge,STABLE
71Ge,987552
72Ge,STABLE
73Ge,STABLE
74Ge,STABLE
75Ge,4966.8
76Ge,STABLE
77Ge,40680
78Ge,5280
79Ge,18.98
80Ge,29.5
81Ge,7.6
82Ge,4.56
83Ge,1.85
84Ge,0.954
85Ge,0.503
86Ge,0.226
87Ge,0.14
88Ge,3.00E-07
89Ge,3.00E-07
64As,0.018
65As,0.128
66As,0.09577
67As,42.5
68As,151.6
69As,912
70As,3156
71As,235080
72As,93600
73As,6937920
74As,1535328
75As,STABLE
76As,94538.88
77As,139788
78As,5442
79As,540.6
80As,15.2
81As,33.3
82As,19.1
83As,13.4
84As,4.02
85As,2.021
86As,0.945
87As,0.484
88As,0.2
65Se,0.033
66Se,0.042
67Se,0.136
68Se,35.5
69Se,27.4
70Se,2466
71Se,284.4
72Se,725760
73Se,25740
74Se,STABLE
75Se,10348992
76Se,STABLE
77Se,STABLE
78Se,STABLE
79Se,1.02878E+13
80Se,STABLE
81Se,1107
82Se,STABLE
83Se,1335
84Se,195.6
85Se,32.9
86Se,14.3
87Se,5.5
88Se,1.53
89Se,0.43
90Se,0.195
91Se,0.27
70Br,0.0791
71Br,21.4
72Br,78.6
73Br,204
74Br,1524
75Br,5802
76Br,58320
77Br,205329.6
78Br,387
79Br,STABLE
80Br,1060.8
81Br,STABLE
82Br,127015.2
83Br,8546.4
84Br,1905.6
85Br,174
86Br,55.1
87Br,55.65
88Br,16.34
89Br,4.357
90Br,1.92
91Br,0.543
92Br,0.314
93Br,0.102
94Br,0.07
95Br,1.50E-07
96Br,1.50E-07
69Kr,0.028
70Kr,0.04
71Kr,0.1
72Kr,17.1
73Kr,27.3
74Kr,690
75Kr,276
76Kr,53280
77Kr,4464
78Kr,4.73E+28
79Kr,126144
80Kr,STABLE
81Kr,7.22669E+12
82Kr,STABLE
83Kr,STABLE
84Kr,STABLE
85Kr,338897066.4
86Kr,STABLE
87Kr,4578
88Kr,10170
89Kr,189
90Kr,32.32
91Kr,8.57
92Kr,1.84
93Kr,1.286
94Kr,0.212
95Kr,0.114
96Kr,0.08
97Kr,0.063
98Kr,0.046
99Kr,0.013
100Kr,0.007
74Rb,0.0649
75Rb,19
76Rb,36.5
77Rb,226.2
78Rb,1059.6
79Rb,1374
80Rb,33.4
81Rb,16459.2
82Rb,75.45
83Rb,7447680
84Rb,2835648
85Rb,STABLE
86Rb,1610668.8
87Rb,1.56841E+18
88Rb,1066.38
89Rb,919.2
90Rb,158
91Rb,58.2
92Rb,4.492
93Rb,5.84
94Rb,2.702
95Rb,0.3777
96Rb,0.203
97Rb,0.1691
98Rb,0.102
99Rb,0.054
100Rb,0.051
101Rb,0.032
102Rb,0.037
103Rb,0.023
74Sr,0.027
75Sr,0.088
76Sr,7.89
77Sr,9
78Sr,160
79Sr,135
80Sr,6378
81Sr,1338
82Sr,2189376
83Sr,116676
84Sr,STABLE
85Sr,5602953.6
86Sr,STABLE
87Sr,STABLE
88Sr,STABLE
89Sr,4368643.2
90Sr,912014640
91Sr,34740
92Sr,9576
93Sr,445.8
94Sr,75.3
95Sr,23.9
96Sr,1.07
97Sr,0.429
98Sr,0.653
99Sr,0.269
100Sr,0.202
101Sr,0.118
102Sr,0.069
103Sr,0.053
104Sr,0.053
105Sr,0.039
106Sr,0.02
77Y,0.057
78Y,0.053
79Y,14.8
80Y,30.1
81Y,70.4
82Y,8.3
83Y,424.8
84Y,2370
85Y,9648
86Y,53064
87Y,287280
88Y,9212486.4
89Y,STABLE
90Y,230590.8
91Y,5055264
92Y,12744
93Y,36648
94Y,1122
95Y,618
96Y,5.34
97Y,3.75
98Y,0.548
99Y,1.484
100Y,0.735
101Y,0.45
102Y,0.36
103Y,0.23
104Y,0.197
105Y,0.095
106Y,0.079
107Y,0.0035
108Y,0.03
109Y,0.025
79Zr,0.056
80Zr,4.6
81Zr,5.5
82Zr,32
83Zr,42
84Zr,1548
85Zr,471.6
86Zr,59400
87Zr,6048
88Zr,7205760
89Zr,282276
90Zr,STABLE
91Zr,STABLE
92Zr,STABLE
93Zr,5.08077E+13
94Zr,STABLE
95Zr,5532364.8
96Zr,7.42E+26
97Zr,60296.4
98Zr,30.7
99Zr,2.1
100Zr,7.1
101Zr,2.3
102Zr,2.9
103Zr,1.32
104Zr,0.87
105Zr,0.67
106Zr,0.18
107Zr,0.146
108Zr,0.0774
109Zr,0.056
110Zr,0.0375
111Zr,0.024
112Zr,0.03
82Nb,0.05
83Nb,3.9
84Nb,9.8
85Nb,20.5
86Nb,88
87Nb,222
88Nb,873
89Nb,7308
90Nb,52560
91Nb,21459168000
92Nb,1.09505E+15
93Nb,STABLE
94Nb,6.40619E+11
95Nb,3023222.4
96Nb,84060
97Nb,4326
98Nb,2.86
99Nb,15
100Nb,1.5
101Nb,7.1
102Nb,4.3
103Nb,1.5
104Nb,4.9
105Nb,2.95
106Nb,1.02
107Nb,0.3
108Nb,0.198
109Nb,0.106
110Nb,0.086
111Nb,0.051
112Nb,0.033
113Nb,0.032
114Nb,0.017
115Nb,0.023
83Mo,0.006
84Mo,2.3
85Mo,3.2
86Mo,19.1
87Mo,14.02
88Mo,480
89Mo,126.6
90Mo,20016
91Mo,929.4
92Mo,STABLE
93Mo,1.2623E+11
94Mo,STABLE
95Mo,STABLE
96Mo,STABLE
97Mo,STABLE
98Mo,STABLE
99Mo,237513.6
100Mo,2.30E+26
101Mo,876.6
102Mo,678
103Mo,67.5
104Mo,60
105Mo,35.6
106Mo,8.73
107Mo,3.5
108Mo,1.09
109Mo,0.66
110Mo,0.296
111Mo,0.186
112Mo,0.12
113Mo,0.08
114Mo,0.058
115Mo,0.0455
116Mo,0.032
117Mo,0.022
118Mo,0.019
85Tc,0.5
86Tc,0.055
87Tc,2.2
88Tc,6.4
89Tc,12.8
90Tc,8.7
91Tc,188.4
92Tc,255
93Tc,9900
94Tc,17580
95Tc,72000
96Tc,369792
97Tc,1.32857E+14
98Tc,1.32542E+14
99Tc,6.66181E+12
100Tc,15.46
101Tc,841.2
102Tc,5.28
103Tc,54.2
104Tc,1098
105Tc,456
106Tc,35.6
107Tc,21.2
108Tc,5.17
109Tc,0.86
110Tc,0.92
111Tc,0.35
112Tc,0.271
113Tc,0.152
114Tc,0.1
115Tc,0.078
116Tc,0.057
117Tc,0.0445
118Tc,0.03
119Tc,22
120Tc,0.021
121Tc,22
88Ru,1.2
89Ru,1.5
90Ru,11.7
91Ru,8
92Ru,219
93Ru,59.7
94Ru,3108
95Ru,5914.8
96Ru,STABLE
97Ru,244512
98Ru,STABLE
99Ru,STABLE
100Ru,STABLE
101Ru,STABLE
102Ru,STABLE
103Ru,3390940.8
104Ru,STABLE
105Ru,15984
106Ru,32123520
107Ru,225
108Ru,273
109Ru,34.5
110Ru,11.6
111Ru,2.12
112Ru,1.75
113Ru,0.8
114Ru,0.52
115Ru,0.318
116Ru,0.204
117Ru,0.151
118Ru,0.123
119Ru,0.0695
120Ru,0.045
121Ru,0.029
122Ru,0.025
123Ru,0.019
124Ru,0.015
90Rh,0.012
91Rh,1.47
92Rh,5.7
93Rh,12.2
94Rh,66
95Rh,301.2
96Rh,594
97Rh,1842
98Rh,523.2
99Rh,1391040
100Rh,74880
101Rh,104140080
102Rh,17910720
103Rh,STABLE
104Rh,42.3
105Rh,127296
106Rh,30.07
107Rh,1302
108Rh,16.8
109Rh,80
110Rh,28.5
111Rh,11
112Rh,3.6
113Rh,2.8
114Rh,1.85
115Rh,0.99
116Rh,0.68
117Rh,0.44
118Rh,0.266
119Rh,0.171
120Rh,0.136
121Rh,0.151
123Rh,0.042
124Rh,0.03
125Rh,0.0265
126Rh,0.019
127Rh,0.02
92Pd,0.7
93Pd,1
94Pd,9.6
95Pd,5
96Pd,122
97Pd,186
98Pd,1062
99Pd,1284
100Pd,313632
101Pd,30492
102Pd,STABLE
103Pd,1468022.4
104Pd,STABLE
105Pd,STABLE
106Pd,STABLE
107Pd,2.05124E+14
108Pd,STABLE
109Pd,49324.32
110Pd,STABLE
111Pd,1404
112Pd,75744
113Pd,93
114Pd,145.2
115Pd,25
116Pd,11.8
117Pd,4.3
118Pd,1.9
119Pd,0.92
120Pd,0.492
121Pd,0.285
122Pd,0.175
123Pd,0.108
124Pd,0.038
125Pd,0.057
126Pd,0.0486
127Pd,0.038
128Pd,0.035
94Ag,0.026
